Id,Run1 (ms),Run2 (ms),Run3 (ms),Run4 (ms)
Id_1,152.57829999999996,152.3552999999999,152.31830000000025,152.35000000000014
Id_2,271.7520000000003,271.7962999999998,271.9667000000003,271.7770999999998
Id_3,193.0281999999999,191.4607,190.9134000000001,192.53409999999994
Id_4,195.84679999999963,195.3634000000002,195.37200000000004,195.8717000000001
Id_5,166.87000000000012,166.7869000000002,166.40360000000018,166.53089999999983
Id_6,257.2700999999996,257.50509999999986,257.99320000000034,257.6451000000003
Id_7,257.3519999999996,257.67709999999977,257.93520000000024,257.5985000000003
Id_8,178.93070000000023,178.5999,178.19600000000008,178.5437000000001
Id_9,209.71659999999966,209.84099999999992,213.37089999999966,214.00060000000002
Id_10,241.09310000000005,241.25900000000001,240.96000000000032,241.0533999999998
Id_11,214.19420000000014,214.2049000000004,214.21630000000002,217.81909999999985
Id_12,178.03669999999977,177.9236999999999,177.96359999999996,178.2356
Id_13,241.15929999999992,241.44129999999984,241.1634000000002,241.18280000000007
Id_14,192.43520000000018,192.57910000000032,192.73959999999985,192.80619999999996
Id_15,183.69959999999995,183.57340000000013,183.56999999999982,183.61690000000007
Id_16,217.05849999999998,217.10899999999995,217.73659999999978,217.74930000000003
Id_17,189.94129999999984,191.16199999999986,190.29820000000015,190.25439999999998
Id_18,171.36860000000013,171.40520000000026,171.00740000000013,171.12460000000007
Id_19,186.02530000000027,185.8153000000001,184.96450000000004,185.9001999999998
Id_20,182.92379999999986,182.34760000000014,182.15529999999993,182.41020000000003
Id_21,149.8766,149.68360000000007,149.69149999999988,149.82749999999996
Id_22,170.08440000000007,170.09340000000014,170.49259999999975,170.1421999999999
Id_23,180.28469999999976,180.29410000000024,180.0363,180.41679999999997
Id_24,148.91049999999998,148.65770000000006,148.74689999999995,148.68910000000002
Id_25,162.14959999999982,161.5336999999998,161.63240000000008,161.97589999999994
Id_26,191.1286,193.26630000000014,193.06529999999995,191.0818999999999
Id_27,296.7110999999998,296.91120000000035,296.57400000000007,296.78059999999965
Id_28,183.1977000000002,183.00069999999988,182.68670000000003,183.28790000000012
Id_29,217.46689999999995,217.70399999999987,216.31740000000005,213.7329999999999
Id_30,203.98939999999973,204.17689999999996,203.06409999999994,204.64439999999988
Id_31,201.19979999999995,201.4242000000002,201.18520000000004,201.27639999999982
Id_32,177.7925,177.66120000000012,176.81969999999987,176.44490000000016
Id_33,188.1839000000001,190.81889999999999,191.20339999999993,190.40209999999988
Id_34,258.3735999999997,256.3318999999999,257.6766000000004,257.2824000000002
Id_35,184.5664999999999,184.39660000000018,184.3547000000003,184.71129999999997
Id_36,181.89489999999995,181.80640000000002,182.24220000000017,181.79000000000005
Id_37,230.66600000000034,230.0843000000003,230.53639999999987,230.3427000000004
Id_38,293.1900000000003,292.8255000000002,293.1562000000002,292.9115999999995
Id_39,190.71499999999992,191.09650000000008,190.80249999999992,190.23150000000012
Id_40,179.83530000000002,180.60010000000003,180.5098000000002,180.38660000000007
Id_41,257.9062000000002,257.4657000000001,258.1031999999999,258.05349999999993
Id_42,290.56689999999986,289.7454999999999,288.6566999999997,290.85990000000044
Id_43,170.28749999999974,170.6002,170.61199999999997,170.54939999999996
Id_44,174.88399999999965,174.6415000000002,174.75099999999995,174.8919999999999
Id_45,258.4107999999997,258.5987,258.6287,258.4283000000001
Id_46,289.88379999999967,289.8454000000002,290.94739999999956,289.8425000000003
Id_47,185.77139999999986,186.21300000000036,186.41690000000014,186.45080000000002
Id_48,292.8564999999996,291.76279999999974,291.3146000000001,291.6029999999998
Id_49,331.93020000000035,333.46710000000036,333.4580000000001,333.7121999999997
Id_50,239.1759,238.94999999999996,238.88710000000032,239.41909999999996
Id_51,238.7329000000001,236.74640000000025,236.46000000000032,236.62520000000004
Id_52,189.30279999999988,190.24409999999978,190.1643,190.44739999999976
Id_53,240.13950000000014,240.31110000000027,239.93000000000012,240.4130000000002
Id_54,238.15060000000037,236.56630000000033,236.36040000000023,236.13459999999992
Id_55,193.58840000000006,194.68739999999983,194.7726999999999,194.2312000000001
Id_56,344.90070000000014,344.6787999999995,344.43450000000036,344.5062000000003
Id_57,191.68020000000016,192.6322999999998,192.91889999999992,193.0397999999998
Id_58,221.98110000000025,221.74580000000006,221.82169999999988,221.93400000000003
Id_59,199.19180000000011,199.88330000000013,199.99180000000018,200.04699999999994
Id_60,336.8984999999996,337.06229999999954,337.1634999999996,337.0721000000001
Id_61,166.23000000000022,166.0852000000002,166.12780000000035,166.10379999999986
Id_62,199.25810000000016,199.95310000000012,200.05980000000025,199.9319999999999
Id_63,335.79779999999977,335.8570999999997,335.94889999999987,335.9308999999996
Id_64,265.0842999999996,265.5393,266.125,264.97650000000044
Id_65,291.8078000000004,290.1277999999995,289.8007000000001,289.79229999999984
Id_66,274.0832000000003,274.95190000000036,275.22040000000027,274.37110000000024
